model,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold
Custom MLP threshold 0.40,0.8636363636363636,0.8333333333333334,0.9090909090909091,0.8695652173913043,18,4,2,20,0.40000000000000013
Custom MLP threshold 0.35,0.8636363636363636,0.8333333333333334,0.9090909090909091,0.8695652173913043,18,4,2,20,0.3500000000000001
Custom MLP threshold 0.45,0.8636363636363636,0.8333333333333334,0.9090909090909091,0.8695652173913043,18,4,2,20,0.45000000000000007
Custom MLP threshold 0.30,0.8409090909090909,0.7777777777777778,0.9545454545454546,0.8571428571428571,16,6,1,21,0.30000000000000004
Custom MLP threshold 0.50,0.8409090909090909,0.8260869565217391,0.8636363636363636,0.8444444444444444,18,4,3,19,0.5000000000000001
Custom MLP threshold 0.25,0.7954545454545454,0.7241379310344828,0.9545454545454546,0.8235294117647058,14,8,1,21,0.25000000000000006
Custom MLP threshold 0.55,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,18,4,4,18,0.5500000000000002
Custom MLP threshold 0.20,0.7727272727272727,0.7,0.9545454545454546,0.8076923076923077,13,9,1,21,0.20000000000000004
Custom MLP threshold 0.15,0.7045454545454546,0.6363636363636364,0.9545454545454546,0.7636363636363637,10,12,1,21,0.15000000000000002
Custom MLP threshold 0.60,0.7727272727272727,0.8,0.7272727272727273,0.7619047619047619,18,4,6,16,0.6000000000000002
Custom MLP threshold 0.10,0.6818181818181818,0.6176470588235294,0.9545454545454546,0.75,9,13,1,21,0.1
Custom MLP threshold 0.65,0.7727272727272727,0.8333333333333334,0.6818181818181818,0.75,19,3,7,15,0.6500000000000001
Custom MLP threshold 0.70,0.7727272727272727,0.875,0.6363636363636364,0.7368421052631579,20,2,8,14,0.7000000000000002
Custom MLP threshold 0.80,0.75,1.0,0.5,0.6666666666666666,22,0,11,11,0.8000000000000002
Custom MLP threshold 0.75,0.7045454545454546,0.8461538461538461,0.5,0.6285714285714286,20,2,11,11,0.7500000000000002
Custom MLP threshold 0.85,0.7045454545454546,1.0,0.4090909090909091,0.5806451612903226,22,0,13,9,0.8500000000000002
Custom MLP threshold 0.90,0.6363636363636364,1.0,0.2727272727272727,0.42857142857142855,22,0,16,6,0.9000000000000002
