model,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,config_idx,hidden_layers,dropout_rate,l2_reg,epochs_trained
TF-IDF Keras MLP,0.8863636363636364,0.8695652173913043,0.9090909090909091,0.8888888888888888,19,3,2,20,0.5500000000000002,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.8636363636363636,0.8076923076923077,0.9545454545454546,0.875,17,5,1,21,0.45000000000000007,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.8636363636363636,0.8333333333333334,0.9090909090909091,0.8695652173913043,18,4,2,20,0.5000000000000001,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,19,3,3,19,0.6000000000000002,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.8409090909090909,0.7777777777777778,0.9545454545454546,0.8571428571428571,16,6,1,21,0.45000000000000007,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.8409090909090909,0.7777777777777778,0.9545454545454546,0.8571428571428571,16,6,1,21,0.40000000000000013,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.8181818181818182,0.75,0.9545454545454546,0.84,15,7,1,21,0.3500000000000001,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.8181818181818182,0.7916666666666666,0.8636363636363636,0.8260869565217391,17,5,3,19,0.5000000000000001,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.8181818181818182,0.7916666666666666,0.8636363636363636,0.8260869565217391,17,5,3,19,0.5000000000000001,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.8181818181818182,0.85,0.7727272727272727,0.8095238095238095,19,3,5,17,0.5000000000000001,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.8181818181818182,0.85,0.7727272727272727,0.8095238095238095,19,3,5,17,0.6500000000000001,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.7727272727272727,0.7,0.9545454545454546,0.8076923076923077,13,9,1,21,0.3500000000000001,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.75,0.6774193548387096,0.9545454545454546,0.7924528301886793,12,10,1,21,0.40000000000000013,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.7272727272727273,0.6470588235294118,1.0,0.7857142857142857,10,12,0,22,0.3500000000000001,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.7272727272727273,0.6470588235294118,1.0,0.7857142857142857,10,12,0,22,0.30000000000000004,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.7272727272727273,0.6470588235294118,1.0,0.7857142857142857,10,12,0,22,0.20000000000000004,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.7272727272727273,0.6470588235294118,1.0,0.7857142857142857,10,12,0,22,0.25000000000000006,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.75,0.6896551724137931,0.9090909090909091,0.7843137254901961,13,9,2,20,0.45000000000000007,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.7954545454545454,0.8421052631578947,0.7272727272727273,0.7804878048780488,19,3,6,16,0.45000000000000007,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,17,5,5,17,0.40000000000000013,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.7045454545454546,0.6285714285714286,1.0,0.7719298245614035,9,13,0,22,0.15000000000000002,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.7954545454545454,0.8823529411764706,0.6818181818181818,0.7692307692307693,20,2,7,15,0.7500000000000002,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.7045454545454546,0.6363636363636364,0.9545454545454546,0.7636363636363637,10,12,1,21,0.30000000000000004,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.7045454545454546,0.6363636363636364,0.9545454545454546,0.7636363636363637,10,12,1,21,0.45000000000000007,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.7045454545454546,0.6363636363636364,0.9545454545454546,0.7636363636363637,10,12,1,21,0.40000000000000013,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.7727272727272727,0.8333333333333334,0.6818181818181818,0.75,19,3,7,15,0.7000000000000002,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.6590909090909091,0.5945945945945946,1.0,0.7457627118644068,7,15,0,22,0.3500000000000001,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.7045454545454546,0.6551724137931034,0.8636363636363636,0.7450980392156863,12,10,3,19,0.5000000000000001,0,[16],0.5,0.001,18
TF-IDF Keras MLP,0.6363636363636364,0.5789473684210527,1.0,0.7333333333333333,6,16,0,22,0.25000000000000006,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.6363636363636364,0.5833333333333334,0.9545454545454546,0.7241379310344828,7,15,1,21,0.40000000000000013,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.7045454545454546,0.68,0.7727272727272727,0.723404255319149,14,8,5,17,0.45000000000000007,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.6136363636363636,0.5641025641025641,1.0,0.7213114754098361,5,17,0,22,0.30000000000000004,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.6136363636363636,0.5641025641025641,1.0,0.7213114754098361,5,17,0,22,0.1,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.7272727272727273,0.75,0.6818181818181818,0.7142857142857143,17,5,7,15,0.5500000000000002,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.5909090909090909,0.55,1.0,0.7096774193548387,4,18,0,22,0.20000000000000004,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.5909090909090909,0.55,1.0,0.7096774193548387,4,18,0,22,0.30000000000000004,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.75,0.8666666666666667,0.5909090909090909,0.7027027027027027,20,2,9,13,0.8000000000000002,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.75,0.8666666666666667,0.5909090909090909,0.7027027027027027,20,2,9,13,0.8500000000000002,7,[64],0.2,0.01,80
TF-IDF Keras MLP,0.75,0.8666666666666667,0.5909090909090909,0.7027027027027027,20,2,9,13,0.5000000000000001,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.5681818181818182,0.5365853658536586,1.0,0.6984126984126984,3,19,0,22,0.15000000000000002,8,"[128, 64, 32]",0.4,1e-05,33
TF-IDF Keras MLP,0.5681818181818182,0.5365853658536586,1.0,0.6984126984126984,3,19,0,22,0.25000000000000006,6,[32],0.2,0.01,30
TF-IDF Keras MLP,0.5681818181818182,0.5365853658536586,1.0,0.6984126984126984,3,19,0,22,0.20000000000000004,1,[32],0.5,0.001,14
