model,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold
TF-IDF Keras MLP threshold 0.40,0.6818181818181818,0.6538461538461539,0.7727272727272727,0.7083333333333334,13,9,5,17,0.40000000000000013
TF-IDF Keras MLP threshold 0.35,0.6590909090909091,0.6206896551724138,0.8181818181818182,0.7058823529411765,11,11,4,18,0.3500000000000001
TF-IDF Keras MLP threshold 0.25,0.6136363636363636,0.5714285714285714,0.9090909090909091,0.7017543859649122,7,15,2,20,0.25000000000000006
TF-IDF Keras MLP threshold 0.10,0.5909090909090909,0.5526315789473685,0.9545454545454546,0.7,5,17,1,21,0.1
TF-IDF Keras MLP threshold 0.15,0.5909090909090909,0.5555555555555556,0.9090909090909091,0.6896551724137931,6,16,2,20,0.15000000000000002
TF-IDF Keras MLP threshold 0.20,0.5909090909090909,0.5555555555555556,0.9090909090909091,0.6896551724137931,6,16,2,20,0.20000000000000004
TF-IDF Keras MLP threshold 0.50,0.7045454545454546,0.7368421052631579,0.6363636363636364,0.6829268292682927,17,5,8,14,0.5000000000000001
TF-IDF Keras MLP threshold 0.45,0.6590909090909091,0.64,0.7272727272727273,0.6808510638297872,13,9,6,16,0.45000000000000007
TF-IDF Keras MLP threshold 0.30,0.6136363636363636,0.5806451612903226,0.8181818181818182,0.6792452830188679,9,13,4,18,0.30000000000000004
TF-IDF Keras MLP threshold 0.55,0.7045454545454546,0.7647058823529411,0.5909090909090909,0.6666666666666666,18,4,9,13,0.5500000000000002
TF-IDF Keras MLP threshold 0.60,0.7045454545454546,0.7647058823529411,0.5909090909090909,0.6666666666666666,18,4,9,13,0.6000000000000002
TF-IDF Keras MLP threshold 0.65,0.7272727272727273,0.8571428571428571,0.5454545454545454,0.6666666666666666,20,2,10,12,0.6500000000000001
TF-IDF Keras MLP threshold 0.70,0.7045454545454546,0.8461538461538461,0.5,0.6285714285714286,20,2,11,11,0.7000000000000002
TF-IDF Keras MLP threshold 0.75,0.6590909090909091,0.8181818181818182,0.4090909090909091,0.5454545454545454,20,2,13,9,0.7500000000000002
TF-IDF Keras MLP threshold 0.80,0.6363636363636364,0.875,0.3181818181818182,0.4666666666666667,21,1,15,7,0.8000000000000002
TF-IDF Keras MLP threshold 0.85,0.5909090909090909,0.8333333333333334,0.22727272727272727,0.35714285714285715,21,1,17,5,0.8500000000000002
TF-IDF Keras MLP threshold 0.90,0.5,0.5,0.045454545454545456,0.08333333333333333,21,1,21,1,0.9000000000000002
